Portuguese,English
que,what
não,no
de,of
você,you
eu,I
um,a
para,for
se,if
está,it is
uma,one
com,with
me,me
por,per
ele,he
isso,that
em,in
do,of
bem,well
mas,but
como,as
da,gives
os,you
no,at the
aqui,here
na,at
sim,yea
ela,Is it over there
mais,most
tem,has
meu,mine
seu,your
vai,go
as,at
muito,much
vamos,we will
foi,he was
estou,I am
sua,your
tudo,all
só,only
minha,my
agora,now
pode,he can
te,you
então,then
vou,I'm going
sei,know
fazer,to do
quando,When
ser,to be
nós,we
tenho,have
quer,would you like
nos,us
certo,right
eles,they
já,already
sabe,You know
quem,who
estava,was
nada,anything
era,was
onde,Where
lá,there
quero,I want
ao,to
ou,or
sou,I am
disse,said
bom,Good
há,there is
posso,I can
são,are
ter,to have
dizer,to say
mim,me
porque,why
pra,for
acho,think
coisa,thing
mesmo,same
estão,they are
sobre,about
todos,all
até,up until
lo,it
cara,face
nunca,Never
quê,what
assim,so
tempo,time
algo,something
esse,that
isto,this
essa,That
casa,House
ver,to see
vocês,you
favor,favor
temos,we have
dos,From
também,also
